logFC	logCPM	F	PValue	FDR
10721	1.49500175696382	3.25504600894548	135.97382656744	1.05347438005668e-19	1.87033841435263e-15
990	1.93458169009453	2.60397993838566	104.693422962899	9.16852569408936e-17	4.45991591097756e-13
57326	-0.918844600580241	7.20087732711259	104.139757067885	1.04362911385851e-16	4.45991591097756e-13
7259	-0.545577618094059	5.67110791109363	103.659727360465	1.16800365238481e-16	4.45991591097756e-13
7280	-3.55276616208903	4.36668822568079	102.811404876037	1.42613283707842e-16	4.45991591097756e-13
8344	2.18918142021483	5.62192647050728	102.577073677795	1.50723755017829e-16	4.45991591097756e-13
63967	1.23297929991618	3.61666787945049	99.1457109224685	3.41491268405443e-16	8.66119425610033e-13
4907	-1.23458908372837	3.44207510000417	94.1584811661128	1.15210508340634e-15	2.55680920634952e-12
157313	1.80277066245023	2.25189078473512	93.0470841933808	1.51762274909578e-15	2.99376380971627e-12
116447	-1.13009723277801	3.9075664564556	85.6769384605069	9.86277206505089e-15	1.75103655242913e-11
57545	1.60248127209609	7.65818046181328	84.898248058183	1.2075442948585e-14	1.94897649190163e-11
6241	2.05978224629177	4.78245171385802	84.4847999932147	1.34505045488599e-14	1.99000214800383e-11
27334	-1.23720088215957	4.99645282056164	83.7522166052254	1.6293142412607e-14	2.22514192610327e-11
200315	1.46336768927834	8.34502202220134	82.7479969257585	2.12192643450834e-14	2.36586314792256e-11
100913187	1.46336768927834	8.34502202220134	82.7479969257585	2.12192643450834e-14	2.36586314792256e-11
1975	-0.804908981793388	8.16607228118476	82.6659544460004	2.16836920057549e-14	2.36586314792256e-11
23508	-1.34890061013323	4.5829604784891	82.5002174174164	2.26538658976476e-14	2.36586314792256e-11
51338	1.98199418360544	3.34122841536327	81.2470087712445	3.15853321489409e-14	3.11536659429054e-11
94240	2.28337440642201	8.83799494371747	80.925954578972	3.44062950483345e-14	3.21499664362174e-11
440068	3.10326355205189	4.10248822033001	79.9488150773193	4.46841496880007e-14	3.96661196780382e-11
2624	-1.49863927352583	4.48578347655403	79.5353555236317	4.99329056001177e-14	4.20056747499698e-11
57463	-1.17991685037364	3.96838953619509	79.3809150731669	5.20516415736925e-14	4.20056747499698e-11
116369	2.27162341711111	5.35290225454127	78.5024941675292	6.59790887475399e-14	5.09301192010358e-11
26519	1.95849086726901	3.9149656234872	78.0778432137885	7.40257404975031e-14	5.47605415330279e-11
55388	1.54931464337827	2.65405081771536	77.8878879914374	7.79435419493782e-14	5.53523857507704e-11
3337	-0.586081648831806	5.42738082352066	77.2940041209251	9.1616145920298e-14	6.25597328718835e-11
3833	1.61840422601341	2.55035354492989	76.993382991104	9.94489441075634e-14	6.53932056920622e-11
54674	-2.0633436706286	3.8385998182887	76.6727621625397	1.0856031461468e-13	6.72907631268669e-11
51514	1.34128086277263	2.59929259760327	76.6274527888618	1.09915068755162e-13	6.72907631268669e-11
353345	1.35664903913277	4.68997296955673	75.7070267632848	1.41513825458745e-13	8.37478819064854e-11
1718	1.11326799912522	3.1046082803859	75.2243259236579	1.61659396742482e-13	9.07583410087931e-11
3983	-0.903715834112932	6.93124616284256	75.1814773925396	1.63583807157901e-13	9.07583410087931e-11
2206	-1.91086190725505	2.46873441636647	74.9538832196645	1.74205335249959e-13	9.37224703644778e-11
8345	1.36786091304322	4.72325497758655	74.5537915800556	1.94618267544614e-13	1.01625080058444e-10
2897	0.993538667298663	3.59153593628651	74.3814008014031	2.04152827806711e-13	1.03557980139438e-10
9781	-0.7323984650451	5.21905821960271	73.9724086446384	2.28731215789256e-13	1.12802611253401e-10
390036	1.27709258723474	4.34352947647318	73.2333411904247	2.81099907196051e-13	1.3488237168537e-10
197135	0.879330181459912	5.80592826710783	72.8050182975117	3.16913754739986e-13	1.48065442148782e-10
10533	0.582014694763043	6.57615791335143	72.6535814753459	3.30664960310958e-13	1.50528864240019e-10
8335	1.85416917366904	3.63510475465844	71.7365967904958	4.28023578704183e-13	1.89978265407852e-10
8365	1.42371402627435	4.83468916652171	70.7473890603936	5.66381648610442e-13	2.41071152512653e-10
8360	1.25289012730427	4.49228345052157	70.7231592899163	5.70293365187081e-13	2.41071152512653e-10
57105	-1.39595351175553	3.90997452999621	70.5316481833167	6.02199954592831e-13	2.44118751869062e-10
440689	1.11487245863181	6.52564909039216	70.5153216386445	6.05003102525557e-13	2.44118751869062e-10
952	1.25366746143228	5.45944190228316	70.2122951873275	6.59523096450937e-13	2.583828112256e-10
3077	1.54131919196753	4.71300558143161	70.1598303804265	6.69460928037491e-13	2.583828112256e-10
8857	-1.69325636450246	2.98093066395262	70.0602496915867	6.8874665452312e-13	2.60170385200074e-10
158405	1.78256308442377	5.42920076908172	69.9059805677022	7.19752501502297e-13	2.66218456493162e-10
55314	1.27504171006603	4.16358406326905	69.2972993801002	8.56688247360669e-13	3.10400880482476e-10
399665	-1.23507061277814	6.32987371422273	69.2237517829379	8.74948629485288e-13	3.10676759357636e-10
387755	2.19928131163701	1.38108090639423	69.1050528739696	9.05262878626237e-13	3.15137983277063e-10
84282	0.945223204297126	4.88625269701718	68.556441058175	1.05996159489902e-12	3.4816988228228e-10
2205	-2.03321829135828	3.22632677429618	68.5436950830929	1.06386092376204e-12	3.4816988228228e-10
1938	-0.836680292413838	9.92371017275809	68.5342896236698	1.06674770403169e-12	3.4816988228228e-10
79801	1.58423920912257	2.64085164008228	68.4959662757339	1.07859319170471e-12	3.4816988228228e-10
126917	-0.838538230326844	5.00438360339344	68.0607725672221	1.22293592968429e-12	3.84618410903123e-10
26986	-0.721024710966882	9.91553414059462	68.0272742006791	1.23483437092926e-12	3.84618410903123e-10
80824	-0.474053861820187	5.76654372562214	67.8555773063454	1.29770509182905e-12	3.97232003454018e-10
26118	1.14070563749732	8.6280961512218	67.6919742049529	1.36065842735181e-12	4.0944287659668e-10
8352	1.88744638962838	4.81086575416124	67.544624751908	1.42002879560889e-12	4.20186520620669e-10
8346	1.47864763534586	3.87278601742164	67.4678092546657	1.45202338212456e-12	4.22610215184252e-10
219537	2.50501950145584	4.4682723163237	67.3678952714095	1.49474485346769e-12	4.28027421426861e-10
3601	0.762549162374227	4.38917949728074	66.6736883892367	1.82934289664395e-12	5.15526250587567e-10
2838	-2.09861507275984	3.55559380827	66.6094744471548	1.86393246058432e-12	5.16085463417146e-10
4050	-0.494332144178975	6.37423848306288	66.5628520273854	1.88946463456767e-12	5.16085463417146e-10
114905	1.80700199256248	4.36486291209844	66.4332732040806	1.96232168178086e-12	5.27864532399051e-10
200942	1.53802891560964	4.20499911013713	66.2351600140825	2.07931068608205e-12	5.50986297323891e-10
51512	1.4325828836127	1.71348754326066	66.141205564	2.13726212436369e-12	5.58013996411073e-10
6181	-0.807594941889923	9.51085834828958	65.707634380921	2.42686730522843e-12	6.24443509232254e-10
55165	1.76894965887168	2.1025097361166	65.6071704357657	2.49951912428369e-12	6.33949464750466e-10
128077	-0.474836486469144	5.03273053343658	65.0301060541895	2.96213732927026e-12	7.34752692287561e-10
6768	1.13152636319207	5.04073721246094	65.0100185551716	2.97973379771907e-12	7.34752692287561e-10
1241	1.08749828772866	6.04786964334388	64.6899379437421	3.27500102535592e-12	7.96498194577658e-10
220042	0.868003796568302	3.07829570769571	64.509842184578	3.45412507680399e-12	8.28709954237542e-10
3018	1.7757738681627	3.18095840239131	63.9121048456033	4.12377742440775e-12	9.76180591905802e-10
959	-1.14014050762837	4.15976447337699	63.2304987761589	5.05158734432138e-12	1.16621641230988e-09
84628	1.59761204171971	7.05934288616668	63.2262874242855	5.05793983034024e-12	1.16621641230988e-09
83938	0.910808163926161	3.62616221814742	63.075550519908	5.29077640449218e-12	1.20426210622249e-09
19	1.34428340530707	8.21354103283713	62.9458805400367	5.49983138788811e-12	1.2303341256171e-09
9381	4.19827566506035	4.95149682363319	62.919178833489	5.54391855634604e-12	1.2303341256171e-09
50861	-1.04694042925167	3.97329330238193	62.4469438723113	6.38623075226448e-12	1.38870056401774e-09
205	1.62808949530003	1.13472509952906	62.4325022975014	6.41396002306269e-12	1.38870056401774e-09
2308	-0.479819344464498	6.34455769101648	62.2385427817753	6.79854184557308e-12	1.45092796208823e-09
8342	1.60524270030576	3.52596853691795	62.2062546215992	6.86481631268512e-12	1.45092796208823e-09
2113	-0.898075764895893	8.67298701982471	62.1248623010572	7.03482932709364e-12	1.46936893968495e-09
11123	-1.01265484488885	6.42516834632861	61.8938005234294	7.54132336871757e-12	1.55684482660711e-09
8343	1.19782000606519	5.09589394575599	61.6410390572848	8.13826147164706e-12	1.66076659962784e-09
79600	-0.982394432697066	3.41960206787741	61.5658645060454	8.32496245696296e-12	1.67956117569228e-09
3568	-1.82788337633623	3.95465256793552	61.489936850392	8.51798255637307e-12	1.69919395849267e-09
2820	0.952258291166297	5.9241276164608	61.3793954433114	8.80721229231725e-12	1.73736941153112e-09
11076	-1.07326974821922	2.20739098329427	61.1975493382485	9.30504279321937e-12	1.81540362363535e-09
22974	1.19278575851681	3.67041330761159	61.0224018463462	9.81175628265925e-12	1.89345566350361e-09
8339	1.33613161817182	4.37451225826801	60.8235950983262	1.04212394811451e-11	1.98355265586942e-09
10949	-0.510428735548272	5.41528570048147	60.7981226281676	1.05020812015166e-11	1.98355265586942e-09
8294	1.02712806489467	4.10578509596201	60.675475086362	1.09003990592988e-11	2.03711247261885e-09
