"","logFC","logCPM","F","PValue","FDR"
"MIR634",2.52894472554464,-1.20142828163028,9.6424036883951,0.00411560911736677,0.0256632073370055
"ESYT3",2.94639124913901,1.591031224336,9.64081151388136,0.00411830286703595,0.0256734517337472
"ATP8A2",2.21580370413615,1.69151466460974,9.64011060814813,0.00411948931009657,0.0256742967691248
"RANBP3L",3.00136883725959,0.084037984555321,9.63880659655642,0.00412169762876141,0.0256815084846391
"GK",-1.76296504343178,5.23756073933209,9.63573825693191,0.00412689884208004,0.0256954550832485
"SYNC",3.18840222056521,-0.378996070072595,9.63448524838101,0.00412902488133889,0.0256954550832485
"LOC101927348",3.54546577335167,-0.291301358007323,9.6344279699136,0.00412912209667503,0.0256954550832485
"TRIP10",1.06466123286194,2.14135762642925,9.6338877957123,0.00413003902366411,0.0256954550832485
"LOC100507412",1.73292222065875,1.33224914588243,9.63330319893313,0.0041310316039198,0.0256954550832485
"OR10X1",3.09112084637098,-1.38033768714008,9.63323129558679,0.00413115370556778,0.0256954550832485
"HIST1H2APS1",2.98991703025503,-1.55385207790487,9.63314617856112,0.00413129825086981,0.0256954550832485
"ZMIZ1_AS1",2.66475618386057,1.73167602682785,9.6316267029609,0.00413387953482088,0.0257035533913554
"CNGB1",3.03676781821116,2.39678050121632,9.63055949832684,0.00413569354123878,0.0257035533913554
"MYL1",3.49390008078145,-0.393712563112614,9.62910604928311,0.00413816545693239,0.0257035533913554
"SMIM9",3.00408567200375,-0.674359756430304,9.62908595392833,0.00413819964475266,0.0257035533913554
"RNA45S5",1.87544810167588,8.06433068339633,9.62883342486226,0.0041386292933127,0.0257035533913554
"LINC01477",3.34634522231534,-0.475393635606157,9.62866679701274,0.00413891281738742,0.0257035533913554
"PKNOX2",3.19538044248643,1.38789269655971,9.62635380268483,0.00414285063622543,0.0257214698586083
"ADCY5",2.44848950811404,2.21678512023383,9.6257051663964,0.00414395564979394,0.0257217938211676
"SAMD7",3.10797871132087,0.425537170001952,9.62384850038548,0.00414712041470573,0.0257348993781244
"LRRC74A",3.06347643868788,1.23935687523038,9.6226974797865,0.00414908368656507,0.0257405443236341
"DNAJC16",-0.551744453253592,4.79202537022711,9.62202945136434,0.00415022358850359,0.025741079586375
"CCDC144NL_AS1",3.4137513943681,0.201902764068959,9.62057872975234,0.00415270021618257,0.025742648608527
"CST13P",3.56014917300763,-0.261205808006639,9.6201512256676,0.00415343034219973,0.025742648608527
"MIR556",2.73354146223732,-1.71425587957891,9.61963301543017,0.00415431556918231,0.025742648608527
"AP2M1",-1.12122687298213,6.9737106232113,9.61941309181112,0.00415469131281658,0.025742648608527
"LINC01273",3.49691688872347,-0.579168890194272,9.61784270568354,0.00415737541274767,0.0257481179841482
"C16orf54",-0.957756196899652,6.21916552671657,9.61723426552321,0.00415841585981844,0.0257481179841482
"FAM90A25P",2.68860366753541,-0.413846483663146,9.61695646356024,0.00415889100114634,0.0257481179841482
"VPS33A",-0.604345107761971,4.00823769823973,9.61643112427866,0.0041597896804647,0.0257481179841482
"MIR99AHG",2.88022639178504,0.243879431868444,9.61276774871745,0.00416606231404885,0.0257653468771232
"CATSPERB",1.37919111171573,1.856168206789,9.61241731404079,0.00416666288210448,0.0257653468771232
"PAXBP1",-0.602017538661792,4.82645039011223,9.61187564914007,0.00416759136050774,0.0257653468771232
"DOCK6",2.50388983696801,2.75161308909349,9.61120912370078,0.00416873417110227,0.0257653468771232
"SOBP",2.51964120192451,1.15435895680914,9.61077350859026,0.00416948125033259,0.0257653468771232
"BPIFB6",3.58717061820661,1.25479927214415,9.61056301534097,0.00416984229767829,0.0257653468771232
"DACT3",3.11449140182939,0.549914907476177,9.61049705187111,0.0041699554480842,0.0257653468771232
"DNAJC5",-0.844141046368263,6.03511304355674,9.60874882369693,0.00417295547788171,0.0257773641669098
"RASSF5",-0.904701025257068,6.91399035778849,9.60670280050737,0.00417646949316922,0.0257925495924209
"C14orf132",1.93248840053595,2.12148291193158,9.60493474140023,0.00417950868030745,0.0258047956958785
"EIF3F",-1.00081444476768,5.69665017186368,9.60322928805239,0.00418244251255451,0.0258163853017229
"CAMKK1",0.858952946309395,3.5601985814921,9.60230755369985,0.00418402906494296,0.0258196549850016
