"","logFC","logCPM","F","PValue","FDR"
"AQP10",-0.370035267413323,1.48795634219097,0.419089216845366,0.522396337292496,0.669413538266954
"LINC00869",0.2704663293038,3.65473135801241,0.418897517497227,0.522490818176545,0.66947958744412
"RTCA_AS1",0.318816656080674,2.17696775158455,0.418831389529804,0.52252341714371,0.66947958744412
"LINC01126",0.264010510989982,1.60169542908708,0.418282064740005,0.522794358690191,0.669778317587621
"SUMO1P3",0.32923980480354,1.70526575652661,0.417473809872672,0.523193473163646,0.670241201510355
"RUNDC1",0.183056620761311,3.88080352563005,0.417281312023282,0.52328860938727,0.670293016385242
"FAIM",-0.343532006360484,1.37999885696555,0.41723585583423,0.523311079295176,0.670293016385242
"ZSWIM7",0.164163802239572,2.36646268688604,0.417162463165878,0.523347362449044,0.670293016385242
"MZT2B",-0.379939879930176,3.09872640001241,0.416059563586541,0.523893151718821,0.670921165673406
"EPB41L4A_AS1",-0.190522130047801,2.77328627947222,0.41592117024377,0.523961710838444,0.670921165673406
"PRKCA_AS1",-0.420586633831819,1.18539622961575,0.415899515300047,0.523972440019717,0.670921165673406
"C3orf38",0.30176769020701,4.53691748084748,0.415748972262297,0.524047039228148,0.670921165673406
"PHC3",0.200280787485744,8.12992223039778,0.415724996882677,0.524058921621481,0.670921165673406
"ORM2",0.229325272340888,1.91244392777455,0.415712929703294,0.524064902398396,0.670921165673406
"APOA1_AS",-0.313704865239527,0.188109229461584,0.415589493176789,0.524126087533075,0.670951038319584
"C15orf57",0.157740061520455,3.3860679741621,0.415135993580702,0.524350989768446,0.671190471160852
"NDUFV3",0.137624731489333,3.95558976011725,0.414991615080961,0.524422627511223,0.671233698842078
"AGO1",0.119123672058429,5.88197655334879,0.414888020619094,0.524474039953048,0.671251034816442
"SNRNP40",0.146376927673196,4.12668297902962,0.414163599999234,0.524833814948892,0.671662999334637
"CSNK1G2",0.153450181725386,6.0003176651285,0.413967229165059,0.524931417315204,0.671739409711905
"OFD1",0.158083262968777,5.48527935427138,0.413782210316755,0.525023407519472,0.671808627856071
"LINC01237",-0.403502121999274,0.854958624307555,0.413277675517167,0.525274407716985,0.672071733225262
"TAF8",0.112928654633468,4.60798300981412,0.413216502805264,0.525304855231638,0.672071733225262
"GPX3",0.262183426996439,2.65885797989865,0.413038366491827,0.525393537328436,0.672108678572751
"SAR1B",0.134685221218988,4.83780244190006,0.41296466713321,0.525430235233436,0.672108678572751
"G6PD",0.204244915406135,5.57785800856028,0.412930033974408,0.525447482097551,0.672108678572751
"UGDH",0.141866634400162,2.48488564146079,0.412754263202588,0.525535029511097,0.672172157667487
"LOC100506497",-0.350010327463928,1.12122724541398,0.412618775104278,0.525602531122022,0.672209990380157
"ZNF749",-0.286394715051094,1.6810640358712,0.412062440530765,0.525879868080122,0.672516163450563
"MIR26A2",-0.499184266169607,-1.00890663426407,0.411938779409243,0.525941550194304,0.672546524220476
"UBAP2",-0.310464092053,8.27552887127985,0.411639772493871,0.526090749058356,0.672688784376284
"CNDP2",0.155387688506354,5.51483707579392,0.41145341626504,0.526183776255294,0.672729574809057
"ECRP",0.627111046948524,-0.334619764240379,0.411423819863542,0.526198553239737,0.672729574809057
"APLF",0.349815945961759,5.54495304845369,0.411141996450469,0.526339300729228,0.67282382695541
"ZSCAN12",-0.186073431233554,3.00427918235216,0.4111114635818,0.526354553482423,0.67282382695541
"MYEOV",-0.439425235438682,0.607297712326571,0.410994895470305,0.526412792700026,0.67282382695541
"LRRC63",0.468157392811609,1.50434611268613,0.410972259467201,0.526424103353525,0.67282382695541
"ANKRD20A4",-0.499775024834064,0.946845565928375,0.410745159404952,0.526537604133446,0.672857169785954
"C1orf87",1.00461994422256,1.50544503874881,0.410693015294905,0.526563671164432,0.672857169785954
"MT1X",-0.247802848431179,1.88439495863969,0.410692222646518,0.526564067430371,0.672857169785954
"RNU4_2",-0.274117382634924,8.7298399020559,0.410307625172608,0.526756401925789,0.673032076931121
"ASB1",-0.276456965167252,4.15442522060947,0.410266684873339,0.526776883410943,0.673032076931121
"LOC100240735",-0.455183699750224,-0.428484471266159,0.410184082599112,0.526818211831702,0.67303636922009
"NUCKS1",0.166754313892783,6.47218082476995,0.409972783671283,0.526923957951965,0.673122951762506
"MAPRE3",-0.250006957937419,1.26986407026637,0.409323173410128,0.527249302428961,0.673490029174588
"CCT3",0.200158408607213,6.00333963370465,0.40918749516214,0.527317300395204,0.673528351837829
