DMRnumber	mean_severe	mean_mild	beta_diff
2407	73.2894112060779	29.8215309519805	43.4678802540974
403	80.1953139930436	45.68538647343	34.5099275196137
7655	85.3018273255533	52.1786625164685	33.1231648090848
806	64.5592524759192	31.7681613732747	32.7910911026444
411	80.1238576238576	48.579898362652	31.5439592612056
2770	78.1213539542111	48.0443859169289	30.0769680372822
6226	73.1426846954306	43.4016938326183	29.7409908628122
12534	65.8590534979424	36.764278394747	29.0947751031954
2997	77.2322775263952	48.8299663299663	28.4023111964288
2608	83.6217732884399	55.513441761229	28.1083315272109
3550	42.7847675503323	15.2849215744812	27.4998459758511
7021	41.0558782675451	13.944105861132	27.111772406413
7096	82.2514582268789	55.159282039107	27.0921761877719
5356	48.2971580888248	21.5801383413612	26.7170197474636
2515	69.7793511394959	44.1309376109163	25.6484135285796
2422	44.1005291005291	19.3881690550323	24.7123600454968
7104	68.0988959900677	43.4645128645082	24.6343831255595
3807	62.5632624563177	38.1968741132887	24.3663883430289
11079	39.8967980588978	16.1347273463563	23.7620707125415
4144	87.7680587728893	64.2989417987969	23.4691169740924
2610	86.5510003924999	63.5248447206418	23.0261556718581
10953	65.2284622464999	42.2291182209658	22.9993440255341
12199	59.1887125220459	36.202731805645	22.9859807164009
4196	56.0635716643823	33.2363319604646	22.8272397039177
464	95.9356511321738	73.2341323068689	22.701518825305
12019	72.7855115105255	50.1547187178776	22.630792792648
3118	79.2976164294591	56.6742094165354	22.6234070129237
2162	92.2597772597773	69.8788707739217	22.3809064858555
964	55.4371932123784	33.1729680342845	22.2642251780939
11501	38.0876445228297	15.9591814200795	22.1284631027503
5641	32.0475589225589	9.97460872513921	22.0729501974197
8840	83.0607168847026	61.0794070592595	21.9813098254431
617	93.0092592592593	71.2576855511638	21.7515737080954
9039	76.9040681544385	55.2363699104279	21.6676982440106
12685	85.968845968846	64.4010842856004	21.5677616832455
10161	44.051888904101	22.485680263609	21.5662086404919
6256	91.3932926852916	69.8828345568925	21.5104581283991
55	86.9734548880223	65.6615847920196	21.3118700960027
117	74.6084580385406	53.4056136839202	21.2028443546204
6292	40.315273297477	19.1495520557749	21.1657212417021
8694	87.9788130848464	66.8305490799721	21.1482640048742
12724	87.4015599505796	66.3231937145602	21.0783662360194
1456	28.3086212474211	7.35532725762447	20.9532939897967
3944	86.9279069665667	66.0626952633117	20.8652117032551
4424	80.7142857142857	59.9189577997914	20.7953279144943
1574	71.6757675186356	51.0806256756017	20.5951418430339
7354	42.4163939212516	21.8622452973599	20.5541486238916
5002	84.6580903790078	64.2276241385737	20.4304662404341
3149	84.5729495260532	64.1766225059317	20.3963270201215
2530	76.3425925925926	56.2107042555981	20.1318883369945
